===================================================
Source: Omega Cen
Columns: Radius (km) - Mass (Msolar) - Posterior Likelihood
Date: February 2016
Cite: Ozel, F., et al. 2016, ApJ in press, arXiv:1505.05155
===================================================
6.125000e+00 1.237500e+00 2.760318e-04
6.125000e+00 1.262500e+00 2.920384e-04
6.125000e+00 1.287500e+00 3.042609e-04
6.125000e+00 1.312500e+00 3.120195e-04
6.125000e+00 1.337500e+00 3.148140e-04
6.125000e+00 1.362500e+00 3.123697e-04
6.125000e+00 1.387500e+00 3.046646e-04
6.125000e+00 1.412500e+00 2.919358e-04
6.125000e+00 1.437500e+00 2.746664e-04
6.125000e+00 1.462500e+00 2.535546e-04
6.125000e+00 1.487500e+00 2.294713e-04
6.125000e+00 1.512500e+00 2.034074e-04
6.125000e+00 1.537500e+00 1.764143e-04
6.125000e+00 1.562500e+00 1.495361e-04
6.125000e+00 1.587500e+00 1.237404e-04
6.125000e+00 1.612500e+00 9.985058e-05
6.125000e+00 1.637500e+00 7.849048e-05
6.125000e+00 1.662500e+00 6.005023e-05
6.125000e+00 1.687500e+00 4.467895e-05
6.125000e+00 1.712500e+00 3.230700e-05
6.125000e+00 1.737500e+00 2.269105e-05
6.125000e+00 1.762500e+00 1.547247e-05
6.125000e+00 1.787500e+00 1.023759e-05
6.125000e+00 1.812500e+00 6.569445e-06
6.125000e+00 1.837500e+00 4.085738e-06
6.125000e+00 1.862500e+00 2.460861e-06
6.125000e+00 1.887500e+00 1.434129e-06
6.125000e+00 1.912500e+00 8.078750e-07
6.125000e+00 1.937500e+00 4.394418e-07
6.125000e+00 1.962500e+00 2.305738e-07
6.125000e+00 1.987500e+00 1.165870e-07
6.125000e+00 2.012500e+00 5.676122e-08
6.125000e+00 2.037500e+00 2.659006e-08
6.125000e+00 2.062500e+00 1.197906e-08
6.125000e+00 2.087500e+00 5.188187e-09
6.125000e+00 2.112500e+00 2.159812e-09
6.125000e+00 2.137500e+00 8.641193e-10
6.125000e+00 2.162500e+00 3.322537e-10
6.125000e+00 2.187500e+00 1.227588e-10
6.125000e+00 2.212500e+00 4.357469e-11
6.125000e+00 2.237500e+00 1.485424e-11
6.125000e+00 2.262500e+00 4.859923e-12
6.125000e+00 2.287500e+00 1.524822e-12
6.125000e+00 2.312500e+00 4.583080e-13
6.125000e+00 2.337500e+00 1.318033e-13
6.125000e+00 2.362500e+00 3.622144e-14
6.125000e+00 2.387500e+00 9.499219e-15
6.125000e+00 2.412500e+00 2.374352e-15
6.125000e+00 2.437500e+00 5.649519e-16
6.125000e+00 2.462500e+00 1.278328e-16
6.125000e+00 2.487500e+00 2.748361e-17
6.125000e+00 2.512500e+00 5.610632e-18
6.125000e+00 2.537500e+00 1.087138e-18
6.125000e+00 2.562500e+00 1.998914e-19
6.125000e+00 2.587500e+00 3.487888e-20
6.125000e+00 2.612500e+00 5.777182e-21
6.125000e+00 2.637500e+00 9.087761e-22
6.125000e+00 2.662500e+00 1.358663e-22
6.125000e+00 2.687500e+00 1.932236e-23
6.125000e+00 2.712500e+00 2.616830e-24
6.125000e+00 2.737500e+00 3.378944e-25
6.125000e+00 2.762500e+00 4.164875e-26
6.125000e+00 2.787500e+00 4.906855e-27
6.125000e+00 2.812500e+00 5.532299e-28
